city,weather,image
Accra,Passing clouds. Warm.,https://c.tadst.com/gfx/w/svg/wt-14.svg
Addis Ababa,Passing clouds. Cool.,https://c.tadst.com/gfx/w/svg/wt-2.svg
Adelaide,Cool.,https://c.tadst.com/gfx/w/svg/wt-2.svg
Algiers,Passing clouds. Mild.,https://c.tadst.com/gfx/w/svg/wt-14.svg
Almaty,Broken clouds. Pleasantly warm.,https://c.tadst.com/gfx/w/svg/wt-6.svg
Amman,Clear. Mild.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Amsterdam,Sprinkles. Passing clouds. Cool.,https://c.tadst.com/gfx/w/svg/wt-18.svg
Anadyr,Overcast. Chilly.,https://c.tadst.com/gfx/w/svg/wt-7.svg
Anchorage,Sunny. Mild.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Ankara,Broken clouds. Cool.,https://c.tadst.com/gfx/w/svg/wt-6.svg
Antananarivo,Passing clouds. Quite cool.,https://c.tadst.com/gfx/w/svg/wt-2.svg
Asuncion,Partly cloudy. Mild.,https://c.tadst.com/gfx/w/svg/wt-15.svg
Athens,Mild.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Atlanta,Passing clouds. Mild.,https://c.tadst.com/gfx/w/svg/wt-14.svg
Auckland,Clear. Cool.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Baghdad,Sunny. Pleasantly warm.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Bangkok,Scattered clouds. Hot.,https://c.tadst.com/gfx/w/svg/wt-2.svg
Barcelona,Passing clouds. Mild.,https://c.tadst.com/gfx/w/svg/wt-14.svg
Beijing,Mild.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Belgrade,Sunny. Cool.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Bengaluru,Broken clouds. Mild.,https://c.tadst.com/gfx/w/svg/wt-6.svg
Berlin,Sunny. Cool.,https://c.tadst.com/gfx/w/svg/wt-1.svg
Bogota,Passing clouds. Cool.,https://c.tadst.com/gfx/w/svg/wt-14.svg
