city,time,temperature,image
Accra,Tue 10:22 pm,75 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Edmonton,Tue 4:22 pm,82 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Nassau,Tue 6:22 pm,84 °F,https://c.tadst.com/gfx/w/svg/wt-33.svg
Addis Ababa,Wed 1:22 am,64 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Frankfurt,Wed 12:22 am,68 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
New Delhi,Wed 3:52 am,85 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Adelaide,Wed 7:52 am,56 °F,https://c.tadst.com/gfx/w/svg/wt-7.svg
Guatemala City,Tue 4:22 pm,68 °F,https://c.tadst.com/gfx/w/svg/wt-33.svg
New Orleans,Tue 5:22 pm,82 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Algiers,Tue 11:22 pm,70 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Halifax,Tue 7:22 pm,68 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
New York,Tue 6:22 pm,76 °F,https://c.tadst.com/gfx/w/svg/wt-1.svg
Almaty,Wed 3:22 am,57 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Hanoi,Wed 5:22 am,84 °F,https://c.tadst.com/gfx/w/svg/wt-1.svg
Oslo,Wed 12:22 am,52 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Amman,Wed 1:22 am,64 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Harare,Wed 12:22 am,57 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Ottawa,Tue 6:22 pm,81 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Amsterdam,Wed 12:22 am,66 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Havana,Tue 6:22 pm,86 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Paris,Wed 12:22 am,73 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Anadyr,Wed 10:22 am,39 °F,https://c.tadst.com/gfx/w/svg/wt-1.svg
Helsinki,Wed 1:22 am,46 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Perth,Wed 6:22 am,59 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Anchorage,Tue 2:22 pm,50 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Hong Kong,Wed 6:22 am,84 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Philadelphia,Tue 6:22 pm,79 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Ankara,Wed 1:22 am,54 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Honolulu,Tue 12:22 pm,80 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Phoenix,Tue 3:22 pm,95 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Antananarivo,Wed 1:22 am,61 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Houston,Tue 5:22 pm,87 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Prague,Wed 12:22 am,63 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Asuncion,Tue 7:22 pm,64 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Indianapolis,Tue 6:22 pm,76 °F,https://c.tadst.com/gfx/w/svg/wt-7.svg
Reykjavik,Tue 10:22 pm,45 °F,https://c.tadst.com/gfx/w/svg/wt-27.svg
Athens,Wed 1:22 am,79 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
